  id req                time  stage num
     223             6.87796    stage 1
     222             4.72645    stage 2
     128             8.28221    stage 3
     224             3.87197    stage 1
     223             5.63604    stage 2
     225             5.24642    stage 1
     224             3.45767    stage 2
     129             9.40329    stage 3
     226             5.05297    stage 1
     225             5.17574    stage 2
     227             5.47965    stage 1
     130             8.66664    stage 3
     226             4.64089    stage 2
     228             5.00585    stage 1
     227             6.17175    stage 2
     131             9.75674    stage 3
     229             5.89637    stage 1
     228              5.4425    stage 2
     229             2.49538    stage 2
     230             5.13836    stage 1
     132             8.98443    stage 3
     230             4.78497    stage 2
     231             5.43718    stage 1
     232             4.78234    stage 1
     133             9.03053    stage 3
     231             5.80141    stage 2
     233             4.97327    stage 1
     232             4.69948    stage 2
     234             3.16327    stage 1
     134             8.38247    stage 3
     233             4.94475    stage 2
     235             3.80798    stage 1
     234             4.12537    stage 2
     236             3.20394    stage 1
     135             8.85742    stage 3
     235             5.11994    stage 2
     237             5.34009    stage 1
     236             5.58844    stage 2
     136             8.99987    stage 3
     238             5.81748    stage 1
     237             4.70507    stage 2
     239             5.93592    stage 1
     137             8.52995    stage 3
     238             3.82427    stage 2
     240             4.79747    stage 1
     239             6.07372    stage 2
     241             4.57204    stage 1
     138              8.3538    stage 3
     240             5.03345    stage 2
     242              4.9869    stage 1
     243             3.43707    stage 1
     139             9.06392    stage 3
     241             5.55509    stage 2
     242             3.40962    stage 2
     244             5.16635    stage 1
     140             8.77079    stage 3
     243             4.62803    stage 2
     245             5.02751    stage 1
     244             6.17173    stage 2
     246             5.68462    stage 1
     141             9.23232    stage 3
     247             4.06954    stage 1
     245             5.93195    stage 2
     142             8.68272    stage 3
     248             5.72482    stage 1
     246             5.36453    stage 2
     249             4.51289    stage 1
     247             4.53369    stage 2
     143             7.09484    stage 3
     250             4.92431    stage 1
     248             4.71556    stage 2
     251             3.63156    stage 1
     144             7.37029    stage 3
     249             3.64568    stage 2
     252             3.98959    stage 1
     250             5.59297    stage 2
     253             3.67263    stage 1
     145             8.22403    stage 3
     251             3.41927    stage 2
     254             4.52235    stage 1
     252             3.93527    stage 2
     255              3.1259    stage 1
     146             9.20567    stage 3
     253             3.36165    stage 2
     256             2.71905    stage 1
     254             5.74712    stage 2
     257             6.70653    stage 1
     147             9.80591    stage 3
     255             3.64205    stage 2
     258             2.59932    stage 1
     256             5.54225    stage 2
     259             5.02118    stage 1
     148              8.0701    stage 3
     260             5.04655    stage 1
     257             5.83959    stage 2
     261             4.57536    stage 1
     258             4.38544    stage 2
     149             9.30338    stage 3
     262              4.6795    stage 1
     259             4.92201    stage 2
     150              8.6029    stage 3
     263             5.91407    stage 1
     260              5.0731    stage 2
     264             3.71315    stage 1
     261              3.1599    stage 2
     151             8.23736    stage 3
     265             5.42956    stage 1
     262             5.34498    stage 2
     266             5.53495    stage 1
     263             5.24324    stage 2
     152             9.04309    stage 3
     267             4.59118    stage 1
     264             4.12915    stage 2
     153             8.48162    stage 3
     268             4.79422    stage 1
     265             5.63364    stage 2
     269             4.97193    stage 1
     266             4.36562    stage 2
     154             8.35819    stage 3
     270             6.09247    stage 1
     267             5.94321    stage 2
     155             7.62635    stage 3
     271             4.01568    stage 1
     268             3.94421    stage 2
     272              5.1834    stage 1
     269             5.32346    stage 2
     156             8.02706    stage 3
     273             5.10551    stage 1
     270             6.01834    stage 2
     271             2.94044    stage 2
     274             5.84012    stage 1
     157             9.22672    stage 3
     272             4.20683    stage 2
     275             4.72352    stage 1
     158             8.59386    stage 3
     273             5.07254    stage 2
     276             5.54887    stage 1
     274             4.24321    stage 2
     277             3.80252    stage 1
     159             8.12286    stage 3
     275             5.03572    stage 2
     278             4.32654    stage 1
     279             3.51677    stage 1
     276             5.41371    stage 2
     160             8.35634    stage 3
     280             5.57496    stage 1
     277             4.87266    stage 2
     278             2.95895    stage 2
     281             4.68496    stage 1
     161             9.33353    stage 3
     282             5.02853    stage 1
     279             5.38664    stage 2
     162             8.81907    stage 3
     280              3.4304    stage 2
     283             4.42738    stage 1
     281             5.05009    stage 2
     284             4.73547    stage 1
     163             7.96341    stage 3
     282             5.56619    stage 2
     285             5.67366    stage 1
     164             7.70785    stage 3
     283             4.66372    stage 2
     286             4.43273    stage 1
     284               5.293    stage 2
     287             4.84135    stage 1
     165             7.80266    stage 3
     288             5.47595    stage 1
     285             7.01401    stage 2
     166             10.5107    stage 3
     286             4.40142    stage 2
     289             5.80914    stage 1
     290             4.95403    stage 1
     287              6.0833    stage 2
     167             8.47146    stage 3
     291              4.8944    stage 1
     288             4.81937    stage 2
     292             4.36318    stage 1
     168             8.12556    stage 3
     289             5.29586    stage 2
     293             4.16445    stage 1
     290             6.06205    stage 2
     169             8.24532    stage 3
     294              4.5694    stage 1
     291             3.07164    stage 2
     295             2.41688    stage 1
     292             2.99049    stage 2
     170             7.79778    stage 3
     296             4.60416    stage 1
     293             4.34521    stage 2
     297             2.24751    stage 1
     294             3.15778    stage 2
     298             3.59113    stage 1
     171             7.76882    stage 3
     295             4.06679    stage 2
     299             3.18104    stage 1
     296             4.60997    stage 2
     172             7.97327    stage 3
     300             5.06777    stage 1
     297             4.05398    stage 2
     301               6.125    stage 1
     298             4.39963    stage 2
     173             9.21407    stage 3
     302             2.78418    stage 1
     299             2.95987    stage 2
     303             4.57449    stage 1
     300             4.83936    stage 2
     174             9.48979    stage 3
     304             5.03383    stage 1
     301             3.13475    stage 2
     305             3.39277    stage 1
     302             4.56496    stage 2
     175             8.61852    stage 3
     306             4.53306    stage 1
     303             3.74134    stage 2
     307             4.24665    stage 1
     304             5.21284    stage 2
     176             8.25503    stage 3
     305             2.78104    stage 2
     308             4.73724    stage 1
     309              4.6034    stage 1
     306              5.0107    stage 2
     177             8.22738    stage 3
     310             4.65508    stage 1
     307             4.11409    stage 2
     178             8.52446    stage 3
     311             5.91073    stage 1
     308              5.4267    stage 2
     309             4.95561    stage 2
     312             6.35272    stage 1
     179             8.42594    stage 3
     313               3.384    stage 1
     310             4.92193    stage 2
     314             4.17463    stage 1
     180             8.31552    stage 3
     311             4.73341    stage 2
     315             3.51746    stage 1
     312             3.75884    stage 2
     181              8.1352    stage 3
     316             4.66149    stage 1
     313             4.77139    stage 2
     317             6.27978    stage 1
     314             5.65695    stage 2
     182             10.1378    stage 3
     318             5.18961    stage 1
     315             5.47507    stage 2
     319             5.16039    stage 1
     183             8.08044    stage 3
     316             4.81313    stage 2
     320             4.28864    stage 1
     317             5.02402    stage 2
     321             3.09533    stage 1
     184             8.60521    stage 3
     318              4.5662    stage 2
     322             3.10782    stage 1
     319             5.35453    stage 2
     185             8.19804    stage 3
     323             6.08845    stage 1
     324             3.29524    stage 1
     320             5.79384    stage 2
     186             9.94789    stage 3
     325             5.70401    stage 1
     321             4.47227    stage 2
     322             5.46823    stage 2
     326             6.69089    stage 1
     187              9.1237    stage 3
     323             5.14356    stage 2
     327             4.67736    stage 1
     188             8.79792    stage 3
     324              5.2994    stage 2
     328             4.70175    stage 1
     329             4.92489    stage 1
     325             6.09401    stage 2
     189             7.82483    stage 3
     330             4.86228    stage 1
     326             4.78101    stage 2
     190             8.62959    stage 3
     331              5.6912    stage 1
     327             4.97769    stage 2
     328             4.41464    stage 2
     332             5.58696    stage 1
     191             7.84849    stage 3
     329             3.96305    stage 2
     333             3.67792    stage 1
     330             4.55215    stage 2
     192             7.66097    stage 3
     334             5.45085    stage 1
     331             4.47511    stage 2
     335             5.32649    stage 1
     193             8.80966    stage 3
     332             5.47191    stage 2
     336             5.31226    stage 1
     333             6.21237    stage 2
     194             9.04768    stage 3
     337             5.86134    stage 1
     334             4.50629    stage 2
     338              6.0584    stage 1
     335             4.20222    stage 2
     195             8.30944    stage 3
     336             3.41399    stage 2
     339             4.63042    stage 1
     196             8.01949    stage 3
     337             4.66365    stage 2
     340             4.86309    stage 1
     341             4.96988    stage 1
     338             5.51859    stage 2
     197             8.19785    stage 3
     339             3.42648    stage 2
     342             5.80282    stage 1
     198              9.2682    stage 3
     340              6.3351    stage 2
     343             5.92993    stage 1
     341             5.42251    stage 2
     344             5.60952    stage 1
     199             8.20019    stage 3
     342             4.97736    stage 2
     345              4.7969    stage 1
     200             8.28863    stage 3
     343             5.02118    stage 2
     346             5.76923    stage 1
     347             3.91059    stage 1
     344              5.0691    stage 2
     201             8.03639    stage 3
     348             5.18633    stage 1
     345             5.49026    stage 2
